Year,Hours,.
2003,0.41,Women
2004,0.44,Women
2005,0.43,Women
2006,0.42,Women
2007,0.42,Women
2008,0.40,Women
2009,0.42,Women
2010,0.35,Women
2011,0.35,Women
2012,0.38,Women
2013,0.38,Women
2014,0.37,Women
2015,0.37,Women
2016,0.33,Women
2017,0.33,Women
2018,0.29,Women
2003,0.32,Men
2004,0.33,Men
2005,0.32,Men
2006,0.31,Men
2007,0.28,Men
2008,0.29,Men
2009,0.27,Men
2010,0.25,Men
2011,0.24,Men
2012,0.26,Men
2013,0.26,Men
2014,0.27,Men
2015,0.27,Men
2016,0.25,Men
2017,0.22,Men
2018,0.24,Men
