"Some of the published fatal occupational injuries, injury rates, and the total hours worked for selected occupations, industries, and a race/ethnic ",,,,
"origin category were improperly calculated for 2006 to 2015. For details on the affected rates and products, please visit",,,,
http://www.bls.gov/bls/errata/cfoi-errata-2016.htm.,,,,
This document has been revised with the corrected figures.,,,,
,,,,
,,,,
"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,
"worker characteristics, occupations, and industries, civilian workers, 2008",,,,
Characteristic,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,
Total,"5,214","271,958",3.7,
,,,,
Employee Status,,,,
Wage and salary workers4 ,"4,183","254,085",3.2,
Self-employed5,"1,031","17,676",11.6,
,,,,
Gender,,,,
Men,"4,827","155,020",6.1,
Women,387,"116,881",0.6,
,,,,
Age,,,,
16 to 17 years,23,"1,714",2.5,
18 to 19 years,66,"4,754",2.4,
20 to 24 years,353,"23,250",2.8,
25 to 34 years,850,"60,610",2.8,
35 to 44 years,"1,113","65,657",3.3,
45 to 54 years,"1,292","68,046",3.8,
55 to 64 years,920,"38,942",4.7,
65 years and over,580,"8,939",12.7,
,,,,
Race or ethnic origin6,,,,
White (non-Hispanic),"3,663","187,407",3.8,
Black or African-American (non-Hispanic),533,"28,733",3.7,
Hispanic or Latino,804,"37,978",4.2,
,,,,
Occupation7,,,,
Civilian Occupations,,,,
"Management, professional, and related occupations",844,"102,703",1.6,
"Management, business, and financial operations occupations",577,"46,080",2.5,
Management occupations,553,"33,845",3.3,
Farmers and ranchers,324,"1,601",40.3,
Construction managers,55,"2,575",4.3,
Food service managers,28,"2,355",2.4,
Business and financial operations occupations,24,"12,212",0.4,
Professional and related occupations,267,"56,710",0.9,
Architecture and engineering occupations,42,"6,054",1.4,
"Education, training, and library occupations",27,"14,202",0.4,
"Arts, design, entertainment, sports, and media occupations",57,"4,927",2.3,
Healthcare practitioner and technical occupations,61,"13,880",0.9,
Service occupations,681,"41,383",3.2,
Protective service occupations,306,"6,220",9.1,
Fire fighters,44,806,6.9,
Police and sheriff's patrol officers,112,"1,426",15.7,
Security guards and gaming surveillance officers,70,"1,642",8.5,
Food preparation and serving related occupations,65,"12,168",1.1,
Building and grounds cleaning and maintenance occupations,234,"9,229",5.1,
Janitors and building cleaners,57,"3,628",3.1,
Grounds maintenance workers,131,"2,152",12.2,
Personal care and service occupations,57,"8,187",1.3,
Sales and office occupations,364,"64,173",1.1,
