"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,
"worker characteristics, occupations, and industries, civilian workers, 2016",,,,
Characteristic,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,Margin of Error4
Total,"5,190","283,101",3.6,0.0
 no data, no data, no data, no data, no data
Employee Status, no data, no data, no data, no data
Wage and salary workers5,"4,098","266,442",3.0,0.0
Self-employed6,"1,092","16,520",13.1,0.3
 no data, no data, no data, no data, no data
Gender, no data, no data, no data, no data
Men,"4,803","160,312",5.8,0.0
Women,387,"122,789",0.6,0.0
 no data, no data, no data, no data, no data
Age, no data, no data, no data, no data
16 to 17 years,17,"1,539",2.1,0.1
18 to 19 years,43,"4,196",1.9,0.1
20 to 24 years,310,"23,593",2.4,0.0
25 to 34 years,834,"65,094",2.5,0.0
35 to 44 years,979,"61,892",3.1,0.0
45 to 54 years,"1,145","64,588",3.5,0.0
55 to 64 years,"1,160","48,324",4.7,0.0
65 years and over,688,"13,874",9.6,0.2
 no data, no data, no data, no data, no data
Race or ethnic origin7, no data, no data, no data, no data
White (non-Hispanic),"3,481","181,673",3.7,0.0
Black or African-American (non-Hispanic),587,"31,329",3.6,0.0
Asian (non-Hispanic),160,"16,896",1.8,0.0
Hispanic or Latino,879,"46,831",3.7,0.0
 no data, no data, no data, no data, no data
Occupation8, no data, no data, no data, no data
Civilian Occupations, no data, no data, no data, no data
"Management, professional, and related occupations",672,"115,487",1.2,0.0
"Management, business, and financial operations occupations",404,"51,562",1.6,0.0
Management occupations,377,"36,787",2.0,0.0
"Farmers, ranchers, and other agricultural managers",260,"2,239",23.1,1.8
Food service managers,23,"2,499",1.8,0.1
"Property, real estate, and community association managers",23,"1,323",3.5,0.2
Business and financial operations occupations,27,"14,774",0.4,0.0
Professional and related occupations,268,"63,925",0.8,0.0
Computer and mathematical occupations,16,"9,156",0.3,0.0
Architecture and engineering occupations,41,"6,355",1.3,0.0
"Life, physical, and social science occupations",15,"2,628",1.1,0.1
Community and social service occupations,27,"4,924",1.0,0.0
"Education, training, and library occupations",32,"14,930",0.4,0.0
"Arts, design, entertainment, sports, and media occupations",64,"5,372",2.3,0.1
"Athletes, coaches, umpires, and related workers",29,463,11.7,1.5
Healthcare practitioners and technical occupations,60,"16,884",0.7,0.0
Service occupations,787,"45,189",3.4,0.0
Healthcare support occupations,30,"6,183",1.0,0.0
Protective service occupations,281,"6,210",8.4,0.3
Fire fighters,35,660,6.1,0.8
Police and sheriff's patrol officers,108,"1,476",14.6,0.9
Security guards and gaming surveillance officers,54,"1,741",6.2,0.4
Food preparation and serving related occupations,92,"13,468",1.3,0.0
