"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,,,,,
"worker characteristics, occupations, and industries, civilian workers, 2017",,,,,,,,
Characteristic,Characteristic code,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,Margin of error4,,,
Total,no data,"5,147","285,977",3.5,0.0,,,
 no data,no data,no data,no data,no data,no data,,,
Employee status,no data,no data,no data,no data,no data,,,
Wage and salary workers5,no data,"4,069","269,535",2.9,0.0,,,
Self-employed6,no data,"1,078","16,317",13.1,0.3,,,
 no data,no data,no data,no data,no data,no data,,,
Gender,no data,no data,no data,no data,no data,,,
Men,no data,"4,761","161,535",5.7,0.0,,,
Women,no data,386,"124,442",0.6,0.0,,,
 no data,no data,no data,no data,no data,no data,,,
Age,no data,no data,no data,no data,no data,,,
16 to 17 years,no data,7,"1,658",0.8,0.0,,,
18 to 19 years,no data,62,"4,167",2.6,0.1,,,
20 to 24 years,no data,293,"23,734",2.2,0.0,,,
25 to 34 years,no data,872,"66,241",2.5,0.0,,,
35 to 44 years,no data,907,"62,511",2.9,0.0,,,
45 to 54 years,no data,"1,059","63,933",3.3,0.0,,,
55 to 64 years,no data,"1,155","49,347",4.6,0.0,,,
65 years and over,no data,775,"14,386",10.3,0.2,,,
 no data,no data,no data,no data,no data,no data,,,
Race or ethnic origin7,no data,no data,no data,no data,no data,,,
White (non-Hispanic),no data,"3,449","181,695",3.6,0.0,,,
Black or African-American (non-Hispanic),no data,530,"32,296",3.2,0.0,,,
Asian (non-Hispanic),no data,144,"17,289",1.6,0.0,,,
Hispanic or Latino,no data,903,"47,964",3.7,0.0,,,
 no data,no data,no data,no data,no data,no data,,,
Occupation8,Occupation code8,no data,no data,no data,no data,,,
Civilian Occupations,no data,no data,no data,no data,no data,,,
"Management, professional, and related occupations","11, 13, 15, 17, 19, 21, 23, 25, 27, 29",654,"117,488",1.1,0.0,,,
"Management, business, and financial operations occupations","11, 13",425,"52,207",1.6,0.0,,,
Management occupations,11-0000,396,"37,361",2.1,0.0,,,
"Farmers, ranchers, and other agricultural managers",11-9013,258,"2,153",24.0,2.2,,,
Construction managers,11-9021,12,"2,301",1.0,0.1,,,
Food service managers,11-9051,19,"2,618",1.5,0.1,,,
"Property, real estate, and community association managers",11-9141,16,"1,395",2.3,0.2,,,
Business and financial operations occupations,13-0000,29,"14,846",0.4,0.0,,,
Professional and related occupations,"15, 17, 19,  21, 23, 25, 27, 29",229,"65,280",0.7,0.0,,,
Computer and mathematical occupations,15-0000,11,"9,490",0.2,0.0,,,
Architecture and engineering occupations,17-0000,23,"6,538",0.7,0.0,,,
"Life, physical, and social science occupations",19-0000,13,"2,756",0.9,0.1,,,
Community and social service occupations,21-0000,37,"4,872",1.4,0.1,,,
Legal occupations,23-0000,11,"3,728",0.6,0.0,,,
"Education, training, and library occupations",25-0000,30,"15,086",0.4,0.0,,,
"Arts, design, entertainment, sports, and media occupations",27-0000,47,"5,617",1.6,0.1,,,
"Athletes, coaches, umpires, and related workers",27-2020,24,503,8.7,1.1,,,
Healthcare practitioners and technical occupations,29-0000,57,"17,192",0.6,0.0,,,
      Registered nurses,29-1141,14,"5,698",0.5,0.0,,,
                     Emergency medical technicians and paramedics,29-2041,12,515,4.3,0.5,,,
Service occupations,"31, 33, 35, 37, 39",778,"45,191",3.3,0.0,,,
Healthcare support occupations,31-0000,28,"6,085",0.9,0.0,,,
Protective service occupations,33-0000,266,"6,326",7.7,0.3,,,
Firefighters,33-2011,34,768,3.6,0.4,,,
Police and sheriff's patrol officers,33-3051,95,"1,476",12.9,1.0,,,
Security guards and gaming surveillance officers,33-9030,63,"1,764",7.1,0.5,,,
Food preparation and serving related occupations,35-0000,89,"13,018",1.4,0.0,,,
Supervisors of food preparation and serving workers,35-1010,38,"1,975",3.8,0.3,,,
Building and grounds cleaning and maintenance occupations,37-0000,326,"9,990",6.4,0.2,,,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,53,504,21.0,2.5,,,
Janitors and building cleaners,"37-2011, 37-2019",55,"3,876",2.8,0.1,,,
Grounds maintenance workers,37-3010,191,"2,406",15.5,0.9,,,
Personal care and service occupations,39-0000,69,"9,773",1.2,0.0,,,
Sales and office occupations,"41, 43",333,"60,180",1.1,0.0,,,
Sales and related occupations,41-0000,232,"28,620",1.6,0.0,,,
First-line supervisors of retail sales workers,41-1011,79,"6,744",2.3,0.1,,,
First-line supervisors of non-retail sales workers,41-1012,19,"2,540",1.5,0.1,,,
Cashiers (including gaming change persons and booth cashiers ),41-2010,42,"4,586",1.8,0.1,,,
Retail salespersons,41-2031,43,"5,344",1.6,0.1,,,
Office and administrative support occupations,43-0000,101,"31,560",0.6,0.0,,,
"Natural resources, construction, and maintenance occupations","45, 47, 49","1,643","28,143",11.5,0.2,,,
"Farming, fishing, and forestry occupations",45-0000,264,"2,387",20.9,1.9,,,
Miscellaneous agricultural workers,45-2090,154,"1,736",16.4,1.8,,,
Fishers and related fishing workers,45-3011,41,82,99.8,34.6,,,
Logging workers,45-4020,55,126,84.3,20.2,,,
Construction and extraction occupations,47-0000,965,"15,698",12.2,0.3,,,
First-line supervisors of construction trades and extraction workers,47-1011,121,"1,391",17.4,1.2,,,
Carpenters,47-2031,101,"2,558",7.5,0.4,,,
Construction laborers,47-2061,259,"3,613",14.2,0.6,,,
Operating engineers and other construction equipment operators,47-2073,45,763,11.3,1.0,,,
Electricians,47-2111,74,"1,765",8.3,0.6,,,
"Painters, construction and maintenance",47-2141,44,986,8.9,0.8,,,
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,43,"1,204",7.1,0.6,,,
Roofers,47-2181,91,403,45.2,6.0,,,
Structural iron and steel workers,47-2221,14,84,33.4,9.1,,,
"Helpers, construction trades",47-3010,11,127,15.7,3.6,,,
Mining machine operators,47-5040,7,120,11.7,3.4,,,
Other extraction workers,"47-5051, 47-5099",7,129,10.8,3.1,,,
"Installation, maintenance, and repair occupations",49-0000,414,"10,057",8.1,0.2,,,
"First-line supervisors of mechanics, installers, and repairers",49-1011,35,533,13.1,1.7,,,
Automotive service technicians and mechanics,49-3023,66,"1,827",7.2,0.5,,,
Bus and truck mechanics and diesel engine specialists,49-3031,29,835,6.9,0.8,,,
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,24,893,5.4,0.5,,,
"Industrial machinery installation, repair, and maintenance workers",49-9040,28,"1,034",5.4,0.5,,,
Electrical power-line installers and repairers,49-9051,26,279,18.7,3.1,,,
Telecommunications line installers and repairers,49-9052,15,376,8.0,1.1,,,
"Maintenance and repair workers, general",49-9071,87,"1,046",16.6,1.3,,,
"Production, transportation, and material moving occupations","51, 53","1,664","34,975",9.4,0.2,,,
Production occupations,51-0000,221,"16,907",2.6,0.1,,,
First-line supervisors of production and operating workers,51-1011,31,"1,652",3.8,0.3,,,
"Welding, soldering, and brazing workers",51-4120,37,"1,249",5.8,0.5,,,
Transportation and material moving occupations,53-0000,"1,443","18,068",15.9,0.4,,,
Aircraft pilots and flight engineers,53-2010,59,230,48.6,7.6,,,
Driver/sales workers and truck drivers,53-3030,987,"7,341",26.8,0.9,,,
Taxi drivers and chauffeurs,53-3041,62,"1,176",10.4,0.9,,,
Industrial truck and tractor operators,53-7051,34,"1,253",5.4,0.4,,,
"Laborers and freight, stock, and material movers, hand",53-7062,106,"3,433",6.1,0.3,,,
Refuse and recyclable material collectors,53-7081,30,172,35.0,7.5,,,
 no data,no data,no data,no data,no data,no data,,,
Industry9,Industry code9,no data,no data,no data,no data,,,
Private industry,no data,"4,674","247,851",3.7,0.0,,,
Goods producing,"11, 21, 23, 31, 32, 33","1,967","58,315",6.7,0.1,,,
Natural resources and mining10,"11, 21",693,"6,665",20.3,1.4,,,
"Agriculture, forestry, fishing and hunting",11,581,"4,923",23.0,1.7,,,
Crop production  ,111000,263,"2,405",20.9,2.1,,,
Animal production and aquaculture,112000,152,"1,816",16.4,1.7,,,
Logging ,113300,74,207,70.6,16.1,,,
"Fishing, hunting and trapping ",114000,40,102,78.1,29.1,,,
Support activities for agriculture and forestry ,115000,43,367,23.4,4.9,,,
"Mining, quarrying, and oil and gas extraction10",21,112,"1,742",12.9,2.2,,,
Oil and gas extraction ,211000,8,203,7.9,1.9,,,
Mining (except oil and gas),212000,31,400,15.5,3.6,,,
Coal mining ,212100,17,112,30.3,12.1,,,
Nonmetallic mineral mining and quarrying,212300,10,203,9.9,2.0,,,
Support activities for mining,213000,73,"1,140",12.8,2.9,,,
Construction,23,971,"20,281",9.5,0.2,,,
Manufacturing,"31, 32, 33",303,"31,370",1.9,0.0,,,
Food manufacturing,311000,51,"3,647",2.8,0.2,,,
"Animal food, grain and oilseed milling ","3111, 3112",10,340,5.9,1.0,,,
Animal slaughtering and processing ,311600,18,947,3.8,0.6,,,
Wood product manufacturing,321000,24,874,5.3,0.6,,,
