"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,,
"worker characteristics, occupations, and industries, civilian workers, 2018",,,,,
Characteristic,Characteristic code,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,Margin of error4
Total,no data,"5,250","292,528",3.5,0.0
 no data,no data,no data,no data,no data,
Employee status,no data,no data,no data,no data,
Wage and salary workers5,no data,"4,178","275,609",2.9,0.0
Self-employed6,no data,"1,072","16,760",12.7,0.3
 no data,no data,no data,no data,no data,
Gender,no data,no data,no data,no data,
Men,no data,"4,837","164,926",5.7,0.0
Women,no data,413,"127,602",0.6,0.0
 no data,no data,no data,no data,no data,
Age,no data,no data,no data,no data,
16 to 17 years,no data,9,"1,631",1.0,0.0
18 to 19 years,no data,56,"4,341",2.3,0.1
20 to 24 years,no data,282,"23,910",2.1,0.0
25 to 34 years,no data,946,"68,328",2.7,0.0
35 to 44 years,no data,966,"64,328",2.9,0.0
45 to 54 years,no data,"1,114","64,135",3.4,0.0
55 to 64 years,no data,"1,104","50,677",4.3,0.0
65 years and over,no data,759,"15,177",9.6,0.2
 no data,no data,no data,no data,no data,
Race or ethnic origin7,no data,no data,no data,no data,
White (non-Hispanic),no data,"3,405","183,739",3.6,0.0
Black or African-American (non-Hispanic),no data,615,"33,558",3.6,0.0
Asian (non-Hispanic),no data,153,"17,995",1.7,0.0
Hispanic or Latino,no data,961,"50,218",3.7,0.0
 no data,no data,no data,no data,no data,no data
Occupation8,Occupation code8,no data,no data,no data,no data
Civilian Occupations,no data,no data,no data,no data,no data
"Management, professional, and related occupations","11, 13, 15, 17, 19, 21, 23, 25, 27, 29",686,"121,203",1.1,0.0
"Management, business, and financial operations occupations","11, 13",425,"53,086",1.6,0.0
Management occupations,11-0000,387,"38,148",2.0,0.0
"Farmers, ranchers, and other agricultural managers",11-9013,257,"2,066",24.7,2.1
Construction managers,11-9021,8,"2,160",0.7,0.0
Food service managers,11-9051,16,"2,708",1.2,0.1
"Property, real estate, and community association managers",11-9141,17,"1,280",2.7,0.2
Business and financial operations occupations,13-0000,38,"14,938",0.5,0.0
Professional and related occupations,"15, 17, 19,  21, 23, 25, 27, 29",261,"68,117",0.7,0.0
Computer and mathematical occupations,15-0000,12,"10,187",0.2,0.0
Architecture and engineering occupations,17-0000,30,"6,656",0.9,0.0
"Life, physical, and social science occupations",19-0000,18,"2,957",1.1,0.1
Community and social service occupations,21-0000,23,"5,000",0.8,0.0
Legal occupations,23-0000,15,"3,894",0.8,0.0
"Education, training, and library occupations",25-0000,27,"15,792",0.3,0.0
