Occupation7,,,,,
Civilian Occupations,,,,,
"Management, professional, and related occupations",857,"98,469",1.7,,
"Management, business, and financial operations occupations",589,"44,563",2.6,,
Management occupations,550,"32,741",3.4,,
"Farm, ranch, and other agricultural managers",13,569,4.6,,
Farmers and ranchers,292,"1,647",35.5,,
Construction managers,63,"2,180",5.8,,
Food service managers,29,"2,037",2.7,,
Business and financial operations occupations,39,"11,771",0.7,,
Professional and related occupations,268,"53,886",0.9,,
Architecture and engineering occupations,55,"5,864",1.8,,
"Education, training, and library occupations",23,"13,220",0.3,,
"Arts, design, entertainment, sports, and media occupations",46,"4,822",1.6,,
Healthcare practitioner and technical occupations,56,"13,209",0.8,,
Service occupations,732,"40,557",3.5,,
Protective service occupations,284,"6,035",8.6,,
Fire fighters ,42,690,6.7,,
Police and sheriff's patrol officers,110,"1,394",15.6,,
Security guards and gaming surveillance officers,73,"1,604",9.1,,
Food preparation and serving related occupations,86,"11,977",1.4,,
Building and grounds cleaning and maintenance occupations,282,"9,167",6.1,,
Janitors and building cleaners,59,"3,521",3.4,,
Grounds maintenance workers,170,"2,219",15.1,,
Personal care and service occupations,57,"7,958",1.4,,
Sales and office occupations,404,"65,313",1.2,,
Sales and related occupations,316,"30,869",2.0,,
First-line supervisors/managers of retail sales workers,112,"7,346",3.0,,
First-line supervisors/managers of non-retail sales workers,23,"3,132",1.5,,
Cashiers,57,"4,465",2.6,,
Retail salespersons,38,"5,630",1.3,,
Office and administrative support occupations,88,"34,549",0.5,,
"Natural resources, construction, and maintenance occupations","1,993","31,419",12.6,,
"Farming, fishing, and forestry occupations",297,"1,913",29.9,,
Miscellaneous agricultural workers,162,"1,370",22.0,,
Fishers and related fishing workers,53,70,151.9,,
Logging workers,66,155,85.0,,
Construction and extraction occupations,"1,273","18,522",13.7,,
Carpenters,115,"3,486",6.6,,
Construction laborers,365,"3,147",22.9,,
Operating engineers and other construction equipment operators,82,939,17.2,,
Electricians,118,"1,778",13.3,,
"Painters, construction and maintenance",54,"1,296",8.2,,
"Pipelayers, plumbers, pipefitters, and steamfitters",34,"1,350",5.0,,
Roofers,81,435,37.2,,
Structural iron and steel workers,36,119,60.4,,
"Helpers, construction trades",10,236,8.5,,
"Installation, maintenance, and repair occupations",423,"10,955",7.7,,
"First-line supervisors/managers of mechanics, installers, and repair",23,778,5.9,,
Automotive service technicians and mechanics,46,"1,783",5.2,,
"Heating, air conditioning, and refrigeration mechanics and installer",28,820,6.8,,
Electrical power-line installers and repairers,38,238,31.9,,
"Production, transportation, and material moving occupations","1,786","36,144",9.8,,
Production occupations,285,"18,683",3.0,,
First-line supervisors/managers of production and operating workers,25,"1,876",2.7,,
"Welding, soldering, and brazing workers",55,"1,154",9.5,,
Transportation and material moving occupations,"1,501","17,424",17.1,,
Aircraft pilots and flight engineers,104,221,90.6,,
Driver/sales workers and truck drivers,957,"7,496",25.5,,
Taxi drivers and chauffeurs,53,553,19.2,,
Industrial truck and tractor operators,37,"1,172",6.3,,
"Laborers and freight, stock, and material movers, hand",130,"3,378",7.6,,
Refuse and recyclable material collectors,37,169,43.9,,
,,,,,
Industry8,,,,,
Private industry,"5,320","235,165",4.5,,
Goods producing,"2,542","61,709",8.2,,
Natural resources and mining9,847,"6,063",27.5,,
"Agriculture, Forestry, Fishing, and Hunting",655,"4,439",29.0,,
Crop production  ,308,"1,757",34.1,,
Animal production  ,151,"2,016",14.8,,
Logging ,97,217,89.3,,
"Fishing, hunting, and trapping ",48,97,98.5,,
Support activities for agriculture and forestry ,42,319,25.7,,
Mining9,192,"1,624",23.5,,
Oil and gas extraction ,22,253,16.6,,
Coal mining ,47,230,40.9,,
Support activities for mining,103,826,24.9,,
Construction,"1,239","22,093",11.2,,
Manufacturing,456,"33,553",2.7,,
Food manufacturing,61,"3,101",3.9,,
"Animal food, grain and oilseed milling ",15,291,10.3,,
Animal slaughtering and processing ,16,961,3.3,,
Chemical manufacturing,33,"2,574",2.6,,
Plastics and rubber products manufacturing,13,"1,455",1.8,,
Nonmetallic mineral product manufacturing,59,"1,071",11.0,,
"Cement, concrete, lime, and gypsum product manufacturing ",41,457,17.9,,
Primary metal manufacturing,36,"1,099",6.6,,
Fabricated metal product manufacturing,47,"2,893",3.2,,
Machinery manufacturing,33,"2,619",2.4,,
Transportation equipment manufacturing,50,"4,681",2.1,,
Wood product manufacturing,36,"1,091",6.6,,
Service providing,"2,778","173,165",3.2,,
"Trade, transportation, and utilities","1,494","51,632",5.8,,
Wholesale Trade,222,"9,423",4.7,,
"Merchant wholesalers, durable goods",111,"5,041",4.4,,
"Machinery, equipment, and supplies, merchant wholesalers     ",32,"1,194",5.4,,
"Merchant wholesalers, nondurable goods",103,"4,099",5.0,,
"Groceries and related products, merchant wholesalers ",39,"1,812",4.3,,
Retail Trade,359,"29,923",2.4,,
Motor vehicle and parts dealers,71,"4,415",3.2,,
Automobile dealers ,42,"3,018",2.8,,
"Automotive parts, accessories, and tire stores  ",19,"1,021",3.7,,
Building material and garden equipment and supplies dealers,41,"2,993",2.7,,
Food and beverage stores,82,"5,101",3.2,,
Grocery stores ,57,"4,458",2.6,,
Gasoline stations ,52,997,10.4,,
Miscellaneous store retailers,21,"2,035",2.1,,
Nonstore retailers,19,"1,116",3.2,,
Transportation and Warehousing     ,860,"10,525",16.3,,
Air transportation ,51,954,10.5,,
Rail transportation ,19,509,7.5,,
Water transportation ,21,138,30.4,,
Truck transportation ,553,"4,502",24.6,,
Transit and ground passenger transportation,63,"1,131",11.1,,
Bus service and urban transit ,14,666,4.2,,
Taxi and limousine service ,49,464,21.1,,
Services incidental to transportation ,80,"1,176",13.6,,
Warehousing and storage ,17,697,4.9,,
Utilities,53,"1,761",6.0,,
Information ,66,"6,585",1.9,,
"Publishing industries, except Internet",27,"1,722",3.1,,
Newspaper publishers,22,821,5.4,,
Financial activities,126,"19,895",1.3,,
Finance and Insurance,44,"13,999",0.6,,
Real Estate and Rental and Leasing,82,"5,902",2.8,,
Real estate ,58,"4,892",2.4,,
Professional and business services,459,"27,684",3.3,,
"Professional, Scientific, and Technical Services",78,"16,799",0.9,,
"Management, administrative, and waste services",381,"10,910",7.0,,
Employment services ,31,"1,887",3.3,,
Investigation and security services ,40,"1,424",5.6,,
Services to buildings and dwellings (except landscaping services) ,46,"2,093",4.4,,
Landscaping services,173,"2,219",15.6,,
Waste management and remediation services ,78,709,22.0,,
Educational and health services,178,"34,988",1.0,,
Educational services,49,"6,351",1.5,,
Health care and social assistance,129,"28,637",0.9,,
Ambulatory health care services,56,"10,727",1.0,,
Hospitals ,23,"9,170",0.5,,
Nursing and residential care facilities,22,"4,235",1.0,,
Social assistance,25,"4,497",1.0,,
Leisure and hospitality,265,"19,783",2.6,,
"Arts, entertainment, and recreation",80,"3,895",3.6,,
