Occupation7,,,,
Civilian Occupations,,,,
"Management, professional, and related occupations",798,"99,672",1.6,
"Management, business, and financial operations occupations",564,"44,160",2.5,
Management occupations,538,"32,344",3.3,
Farmers and ranchers,302,"1,521",39.7,
Construction managers,31,"2,152",2.9,
Food service managers,25,"2,226",2.2,
"Property, real estate, and community association managers",26,"1,108",4.7,
Business and financial operations occupations,26,"11,760",0.4,
Professional and related occupations,234,"55,542",0.8,
Architecture and engineering occupations,42,"5,517",1.5,
Community and social services occupations,32,"4,329",1.4,
"Education, training, and library occupations",22,"13,926",0.3,
"Arts, design, entertainment, sports, and media occupations",43,"4,613",1.9,
"Athletes, coaches, umpires, and related workers",18,393,9.2,
Healthcare practitioner and technical occupations,56,"14,280",0.7,
Service occupations,634,"40,422",3.0,
Protective service occupations,244,"6,265",7.3,
Fire fighters ,29,771,4.4,
Police and sheriff's patrol officers,96,"1,470",12.9,
Security guards and gaming surveillance officers,64,"1,735",7.4,
Food preparation and serving related occupations,59,"11,645",1.0,
"First-line supervisors/managers, food preparation and serving workers",15,"1,829",1.6,
Building and grounds cleaning and maintenance occupations,258,"8,757",5.8,
"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",43,506,17.0,
Janitors and building cleaners,41,"3,574",2.2,
Grounds maintenance workers,154,"1,937",15.7,
Personal care and service occupations,48,"8,128",1.1,
Sales and office occupations,383,"59,745",1.3,
Sales and related occupations,290,"28,207",2.0,
First-line supervisors/managers of retail sales workers,130,"6,913",3.8,
First-line supervisors/managers of non-retail sales workers,34,"2,736",2.5,
Cashiers,43,"4,270",2.0,
Retail salespersons,27,"5,147",1.0,
Office and administrative support occupations,93,"31,608",0.6,
"Natural resources, construction, and maintenance occupations","1,403","24,926",11.1,
"Farming, fishing, and forestry occupations",239,"1,785",25.8,
Miscellaneous agricultural workers,124,"1,302",17.7,
Fishers and related fishing workers,57,56,203.6,
Logging workers,36,110,65.5,
Construction and extraction occupations,838,"13,383",12.4,
First-line supervisors/managers of construction trades and extraction workers,112,"1,450",15.3,
Carpenters,84,"2,173",7.7,
Construction laborers,229,"2,410",18.8,
Operating engineers and other construction equipment operators,41,745,11.0,
Electricians,84,"1,502",11.2,
"Painters, construction and maintenance",26,851,6.1,
"Pipelayers, plumbers, pipefitters, and steamfitters",38,"1,035",7.3,
Roofers,60,346,34.7,
Structural iron and steel workers,18,119,30.3,
Miscellaneous extraction workers,21,81,51.9,
"Installation, maintenance, and repair occupations",326,"9,775",6.6,
"First-line supervisors/managers of mechanics, installers, and repairers",21,729,5.8,
Automotive service technicians and mechanics,43,"1,582",5.4,
Bus and truck mechanics and diesel engine specialists,24,650,7.4,
"Heating, air conditioning, and refrigeration mechanics and installers",20,724,5.5,
"Industrial machinery installation, repair, and maintenance workers",81,"1,841",8.7,
"Maintenance and repair workers, general",49,794,12.1,
Electrical power-line installers and repairers,19,258,14.7,
Telecommunications line installers and repairers,17,364,9.3,
"Production, transportation, and material moving occupations","1,256","29,960",8.3,
Production occupations,197,"14,612",2.7,
First-line supervisors/managers of production and operating workers,24,"1,537",3.1,
"Welding, soldering, and brazing workers",40,908,8.8,
Transportation and material moving occupations,"1,059","15,380",13.6,
Aircraft pilots and flight engineers,65,217,59.0,
Driver/sales workers and truck drivers,647,"6,363",20.2,
Taxi drivers and chauffeurs,55,713,15.4,
Industrial truck and tractor operators,21,978,4.3,
"Laborers and freight, stock, and material movers, hand",111,"2,789",7.6,
Refuse and recyclable material collectors,20,151,26.5,
,,,,
Industry8,,,,
Private industry,"4,090","217,057",3.7,
Goods producing,"1,827","50,460",7.2,
Natural resources and mining9,674,"5,726",23.1,
"Agriculture, forestry, fishing, and hunting",575,"4,147",27.2,
Crop production  ,297,"1,766",32.7,
Animal production  ,143,"1,867",15.1,
Logging ,50,171,58.5,
"Fishing, hunting, and trapping ",59,83,142.2,
Support activities for agriculture and forestry ,22,242,17.4,
"Mining, quarrying, and oil and gas extraction9",99,"1,580",12.4,
Mining (except oil and gas),29,488,11.9,
Support activities for mining,58,933,12.4,
Construction,834,"16,685",9.9,
Manufacturing,319,"28,049",2.3,
Food manufacturing,48,"3,100",3.1,
Animal slaughtering and processing ,15,908,3.3,
Chemical manufacturing,18,"2,511",1.4,
Plastics and rubber products manufacturing,19,887,4.3,
Nonmetallic mineral product manufacturing,27,954,5.7,
"Cement, concrete, lime, and gypsum product manufacturing ",15,366,8.2,
Primary metal manufacturing,16,921,3.5,
Fabricated metal product manufacturing,38,"2,103",3.6,
Machinery manufacturing,22,"2,353",1.9,
Transportation equipment manufacturing,31,"3,828",1.6,
Wood product manufacturing,21,784,5.4,
Service providing,"2,263","166,343",2.7,
"Trade, transportation, and utilities","1,146","46,509",4.9,
Wholesale trade,190,"7,665",5.0,
"Merchant wholesalers, durable goods",97,"3,652",5.3,
"Machinery, equipment, and supplies, merchant wholesalers     ",27,796,6.8,
Recyclable material merchant wholesalers,17,189,18.0,
"Merchant wholesalers, nondurable goods",85,"3,747",4.5,
"Groceries and related products, merchant wholesalers ",26,"1,666",3.1,
Retail trade,307,"27,469",2.2,
Motor vehicle and parts dealers,55,"3,632",3.0,
Automobile dealers ,30,"2,436",2.5,
"Auto parts, accessories, and tire stores  ",21,936,4.5,
Building material and garden equipment and supplies dealers,31,"2,628",2.4,
