"Some of the published fatal occupational injuries, injury rates, and the total hours worked for selected occupations, industries, and a race/ethnic ",,,,
"origin category were improperly calculated for 2006 to 2015. For details on the affected rates and products, please visit",,,,
http://www.bls.gov/bls/errata/cfoi-errata-2016.htm.,,,,
This document has been revised with the corrected figures.,,,,
,,,,
"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,
"worker characteristics, occupations, and industries, civilian workers, 2015",,,,
Characteristic,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,
Total,"4,836","277,470",3.4,
,,,,
Employee Status,,,,
Wage and salary workers4 ,"3,751","260,747",2.8,
Self-employed5,"1,085","16,404",13.1,
,,,,
Gender,,,,
Men,"4,492","157,310",5.5,
Women,344,"119,985",0.6,
,,,,
Age,,,,
18 to 19 years,50,"3,986",2.1,
20 to 24 years,329,"23,435",2.7,
25 to 34 years,758,"62,784",2.3,
35 to 44 years,864,"61,034",2.7,
45 to 54 years,"1,130","64,275",3.5,
55 to 64 years,"1,031","47,050",4.3,
65 years and over,650,"13,298",9.4,
,,,,
Race or ethnic origin6,,,,
White (non-Hispanic),"3,241","179,852",3.5,
Black or African-American (non-Hispanic),495,"30,362",3.2,
Asian (non-Hispanic),114,"15,895",1.4,
Hispanic or Latino,903,"45,010",4.0,
,,,,
Occupation7,,,,
Civilian Occupations,,,,
"Management, professional, and related occupations",664,"112,164",1.2,
"Management, business, and financial operations occupations",410,"49,726",1.6,
Management occupations,379,"35,858",2.1,
"Farmers, ranchers, and other agricultural managers",252,"2,263",22.0,
Food service managers,22,"2,560",1.7,
"Property, real estate, and community association managers",19,"1,251",3.0,
Business and financial operations occupations,31,"13,915",0.4,
Professional and related occupations,254,"62,310",0.8,
Architecture and engineering occupations,37,"6,015",1.2,
Community and social service occupations,28,"4,827",1.0,
"Education, training, and library occupations",19,"14,873",0.3,
"Arts, design, entertainment, sports, and media occupations",65,"5,262",2.4,
"Athletes, coaches, umpires, and related workers",23,449,10.2,
Healthcare practitioners and technical occupations,74,"16,397",0.9,
Registered nurses,16,"5,344",0.6,
Service occupations,632,"43,526",2.8,
Healthcare support occupations,23,"6,037",0.7,
Protective service occupations,213,"6,273",6.2,
Fire fighters,29,797,4.3,
Police and sheriff's patrol officers,85,"1,432",11.7,
Security guards and gaming surveillance officers,56,"1,635",6.9,
Food preparation and serving related occupations,56,"12,722",0.9,
First-line supervisors of food preparation and serving workers,17,"1,855",1.8,
Building and grounds cleaning and maintenance occupations,289,"9,661",5.8,
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",38,419,18.1,
Janitors and building cleaners,42,"3,797",2.1,
Grounds maintenance workers,183,"2,347",15.0,
Personal care and service occupations,51,"8,799",1.1,
Sales and office occupations,314,"60,174",1.0,
Sales and related occupations,228,"28,373",1.6,
First-line supervisors of retail sales workers,80,"6,682",2.4,
First-line supervisors of non-retail sales workers,21,"2,624",1.6,
Cashiers,44,"4,597",1.9,
Retail salespersons,34,"5,570",1.2,
Office and administrative support occupations,86,"31,751",0.5,
"Natural resources, construction, and maintenance occupations","1,600","27,076",11.6,
"Farming, fishing, and forestry occupations",284,"2,123",25.3,
Miscellaneous agricultural workers,174,"1,553",20.6,
Fishers and related fishing workers,23,84,54.8,
Logging workers,67,101,132.7,
Construction and extraction occupations,924,"14,795",12.5,
First-line supervisors of construction trades and extraction workers,123,"1,531",16.1,
Carpenters,83,"2,405",6.7,
Construction laborers,235,"3,022",15.6,
Operating engineers and other construction equipment operators,42,742,11.3,
Electricians,83,"1,551",10.7,
"Painters, construction and maintenance",39,"1,023",7.6,
"Pipelayers, plumbers, pipefitters, and steamfitters",46,"1,147",8.0,
Roofers,75,378,39.7,
Structural iron and steel workers,17,114,29.8,
"Installation, maintenance, and repair occupations",392,"10,121",7.6,
"First-line supervisors of mechanics, installers, and repairers",36,571,12.6,
Automotive service technicians and mechanics,44,"1,845",4.7,
Bus and truck mechanics and diesel engine specialists,25,732,6.8,
"Heating, air conditioning, and refrigeration mechanics and installers",29,822,7.1,
"Industrial machinery installation, repair, and maintenance workers",38,"1,071",7.1,
"Maintenance and repair workers, general",69,"1,037",12.7,
Electrical power-line installers and repairers,26,254,20.5,
"Production, transportation, and material moving occupations","1,551","34,519",9.0,
Production occupations,250,"16,875",3.0,
First-line supervisors of production and operating workers,46,"1,751",5.3,
"Welding, soldering, and brazing workers",53,"1,267",8.4,
Transportation and material moving occupations,"1,301","17,636",14.7,
Aircraft pilots and flight engineers,57,267,40.4,
Driver/sales workers and truck drivers,885,"7,288",24.3,
Taxi drivers and chauffeurs,54,807,13.4,
Industrial truck and tractor operators,34,"1,189",5.7,
"Laborers and freight, stock, and material movers, hand",73,"3,418",4.3,
Refuse and recyclable material collectors,33,170,38.8,
,,,,
Industry8,,,,
Private industry,"4,379","239,685",3.6,
Goods producing,"1,980","56,704",6.9,
Natural resources and mining9,690,"6,962",19.3,
"Agriculture, forestry, fishing and hunting",570,"4,859",22.8,
Crop production  ,230,"2,391",18.4,
Animal production and aquaculture,171,"1,844",17.8,
Logging ,80,162,98.8,
"Fishing, hunting, and trapping ",23,108,42.6,
Support activities for agriculture and forestry ,62,322,38.5,
"Mining, quarrying, and oil and gas extraction9",120,"2,104",11.4,
Mining (except oil and gas),28,453,12.4,
Support activities for mining,86,"1,412",12.2,
Construction,937,"18,562",10.1,
Manufacturing,353,"31,180",2.3,
Food manufacturing,44,"3,466",2.5,
Wood product manufacturing,27,826,6.5,
Chemical manufacturing,28,"2,814",2.0,
Plastics and rubber products manufacturing,17,"1,030",3.3,
Nonmetallic mineral product manufacturing,39,943,8.3,
"Cement, concrete, lime, and gypsum product manufacturing ",26,385,13.5,
Primary metal manufacturing,17,"1,092",3.1,
Fabricated metal product manufacturing,66,"2,475",5.3,
Transportation equipment manufacturing,35,"4,841",1.4,
Service providing,"2,399","182,805",2.6,
"Trade, transportation, and utilities","1,231","49,598",4.9,
Wholesale trade,175,"7,413",4.7,
"Merchant wholesalers, durable goods",98,"3,530",5.6,
"Machinery, equipment, and supplies, merchant wholesalers     ",28,751,7.5,
Recyclable material merchant wholesalers,20,204,19.6,
"Merchant wholesalers, nondurable goods",74,"3,642",4.1,
"Groceries and related products, merchant wholesalers ",26,"1,726",3.0,
Retail trade,269,"29,203",1.8,
Motor vehicle and parts dealers,62,"4,111",3.0,
Automobile dealers ,31,"2,763",2.2,
"Automotive parts, accessories, and tire stores  ",24,"1,035",4.6,
Building material and garden equipment and supplies dealers,29,"2,699",2.1,
Food and beverage stores,58,"5,304",2.2,
Grocery stores ,45,"4,627",1.9,
Gasoline stations ,39,965,8.1,
Miscellaneous store retailers,25,"1,870",2.6,
Transportation and warehousing     ,765,"11,027",13.8,
Air transportation ,23,"1,003",4.4,
Truck transportation ,546,"4,328",25.2,
Transit and ground passenger transportation,55,"1,220",9.0,
Taxi and limousine service ,41,637,12.9,
Support activities for transportation ,71,"1,459",9.5,
Couriers and messengers,29,"1,379",4.2,
Utilities,22,"1,956",2.2,
Information ,42,"5,509",1.5,
Financial activities,83,"19,220",0.9,
Finance and insurance,19,"13,794",0.3,
Real estate and rental and leasing,64,"5,450",2.3,
Real estate ,40,"4,716",1.7,
Rental and leasing services,24,742,6.5,
Professional and business services,477,"32,205",3.0,
"Professional, scientific, and technical services",76,"20,158",0.8,
"Architectural, engineering, and related services ",25,"2,880",1.7,
"Management, administrative, and waste services",401,"12,034",6.6,
Employment services ,39,"1,707",4.6,
Investigation and security services ,46,"1,439",6.4,
Services to buildings and dwellings (except landscaping services) ,46,"2,536",3.6,
Landscaping services,187,"2,386",15.6,
Waste management and remediation services ,67,978,13.7,
Educational and health services,139,"41,469",0.7,
Educational services,30,"8,003",0.7,
Health care and social assistance,109,"33,430",0.6,
Ambulatory health care services,47,"13,056",0.7,
Hospitals ,21,"11,237",0.4,
Nursing and residential care facilities,24,"4,538",1.1,
Leisure and hospitality,225,"22,148",2.0,
"Arts, entertainment, and recreation",82,"4,641",3.3,
