device,latency<br>(ms),year
ipad pro 10.5" pencil,30,2017,https://www.amazon.com/gp/product/B072V4HK9F/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B072V4HK9F&linkId=5679f47f9a699d00e721eff9592bed11
ipad pro 10.5",70,2017,https://www.amazon.com/gp/product/B072V4HK9F/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B072V4HK9F&linkId=5679f47f9a699d00e721eff9592bed11
iphone 4s,70,2011,https://www.amazon.com/gp/product/B006FMDVDK/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B006FMDVDK&linkId=9ad1ee1c78ed24a00d7aeaa7acba466b
iphone 6s,70,2015,https://www.amazon.com/gp/product/B00YD547Q6/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00YD547Q6&linkId=8760bcadabac2a1a34059f5695523d18
iphone 3gs,70,2009,https://www.amazon.com/gp/product/B008VUNRZQ/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B008VUNRZQ&linkId=f9f973947891d7eb01a251146c8a17ed
iphone x,80,2017,https://www.amazon.com/gp/product/B075QN8NDJ/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B075QN8NDJ&linkId=17f3a63a6d672e453c1bb28c26f1e680
iphone 8,80,2017,https://www.amazon.com/gp/product/B075QJSQLT/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B075QJSQLT&linkId=0e9df41aaed6dc80988793dcbc08a175
iphone 7,80,2016,https://www.amazon.com/gp/product/B0743HK992/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B0743HK992&linkId=ad1f03111643f0e52f245f120f8efb2b
iphone 6,80,2014,https://www.amazon.com/gp/product/B00YD545CC/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00YD545CC&linkId=cc899d2e45b87f032042af8eb666cef1
gameboy color,80,1998,https://www.amazon.com/gp/product/B077629NJ2/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B077629NJ2&linkId=cadd23b2ef84a2b9c6abe268754e6cb4
iphone 5,90,2012,https://www.amazon.com/gp/product/B00WZR5URO/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00WZR5URO&linkId=f781b3a6200f81f6a0137a69ab1b4c0f
blackberry q10,100,2013,https://www.amazon.com/gp/product/B00CES5B96/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00CES5B96&linkId=fab4357d277c9716f691d15431aace90
huawei honor 8,110,2016,https://www.amazon.com/gp/product/B01IVV7W8M/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B01IVV7W8M&linkId=be83bfddcd1ff8029f548810b405a281
google pixel 2 xl,110,2017,https://www.amazon.com/gp/product/B0766TPHSH/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B0766TPHSH&linkId=774b61b9fe3692df21821844dfedc18b
galaxy s7,120,2016,https://www.amazon.com/gp/product/B01F48QLFA/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B01F48QLFA&linkId=00e8a7505d84e546c50e3d8761944d05
galaxy note 3,120,2016,https://www.amazon.com/gp/product/B00TJ4FFHQ/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00TJ4FFHQ&linkId=f74214ac520214bcb199ce2710ed470f
moto x,120,2013,https://www.amazon.com/gp/product/B00EP2CLII/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B00EP2CLII&linkId=f3ad24ebb82fb4b8282ae94deede1319
nexus 5x,120,2015,https://www.amazon.com/gp/product/B076KTGJPG/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B076KTGJPG&linkId=9164d7895c51ee31fd8db00c3d1597e7
oneplus 3t,130,2016,https://www.amazon.com/gp/product/B01MXR13TZ/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&tag=abroaview-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B01MXR13TZ&linkId=924c9f9d8f2413c64f0f295d505f09da
