viro,initramfs:,null,halfway-created,dumber,f_vfsmnt,helpers:,nd->file,write_iter,lpfc:,does;,[2634x],ip2main,rxbytesgood,eventfd:,backup,caught,ioctx,methods,net/rxrpc,sourse,nouveau:
tiwai,5461,null,snd_hda_codec_free,snd-pcsp,bug#3275,ac_jack_port_both,snd_hda_codec_resume_cache,consitent,snd_free_sgbuf_pages,slave-links,caught,sdin,bko#15689,obey,methods,112,lineout,8384:7680,c2b808c0,tlv320aic23:,int_mic
broonie,piecemeal,wm9715,5399/1:,null,copyrights,ui-relevant,sw_headphone_insert,misdetected,helping,loads,snd_soc_cnew,parenting,framebuffer,itll,arent,plan,rises,those,dai_driver,neumann,non-existant
davem,dev,__lmb_alloc_base,null,rollback_registered_many+0x17d/0x2c0,tb->tlb_nr,matvejchikov,ker:xnel,in-place,bbc_i2c:,hfcpci_empty_bfifo,tcpolen_md5sig_aligned,561,backup,caught,stress,nud_state,link_rtnetlink_table,methods,[0xffffffff:],package,341
gregkh,dev,kobjects:,confined,mitas,null,everywhere,dbg_trace,copyrights,auerswald:,bus_typedrv_attrs,helping,purdie,manufacture,loads,inith,henry,kernel-provided,framebuffer,utilsh,arent,config_usb_gadget_debug_files
mchehab,confined,mirror/upside,7388:,null,pinheiro,saa7164_dl_wait_clr,get_memory_layout:,drivers/media/platform/exynos4-is/fimc-isp-videoc:221:4:,00000000f7f9a000,frontendhxml,tmcomreshwdescr/g;,5680163891],tda18271c2,mxl5007:,bttv_tvnorms[0]cropcapboundsheight,saa7191_write_block,volokh,stress,amux;,methods,drivers/media/dvb/mantis/built-inodevinittext+0x18ba:
tglx,timekeeping_get_ns,alot,enjoy,sys_get_robust_list,status_on_stack_has_interrupt_priority_mask,nand:,fight,null,everywhere,writebuffer,40mb,irqpoll,spin_trylock_irqsaveport->lock,whose,loads,rearming,idiocy,kclocks,ioperm,itll,arent
hsweeten,usbdux_pwm_pattern,das16_detach,ni_private_common,null,glb_mutex,loads,favor,s5920,comedi_request_reqion,dio200_board,usbduxfast_ai_cmd,addi_apci_3xxxc,arent,-etime,those,usbduxsub_stop,kfreeing,pcl725:,general,pci1710,actually
mingo,dev,[<c01197d0>],null,847203627],unserialized,grp,uprobes:,dumber,4a0dd5:,[<ffffffff802ac52b>],228,34426,8070,kernel/modulec:2951:,[<c0104888>],m0,[<c0e36be2>],gathered,dump_trace+0x35b/0x3d2,<f5a90ec8>,[<ffffffff8023551f>]
joe,$text;,pata_hpt{37x|3x2n}:,default:;,sound/soc/codecs/wm8994o,nand:,null,q:,ipv6:,charger-manager:,blk-throttle:,b43:,drivers/net/caif:,p:/m:,240609,lpfc:,arent,$compare,those,in-place,6780,1073f
