bytes,builtin,builtin unrolled,builtin errata,builtin manual,builtin movdq,builtin movdq unrolled,builtin movdq manual,SSSE3
1024, 1224, 620, 232, 184, 290, 293, 269, 305
2048, 997, 507, 450, 332, 504, 513, 451, 571
3072, 1446, 749, 637, 450, 728, 746, 592, 819
4096, 1910, 970, 861, 590, 991, 988, 769, 1071
5120, 2366, 1233, 1057, 720, 1230, 1174, 938, 1384
6144, 2842, 1431, 1248, 840, 1416, 1468, 1109, 1585
7168, 3306, 1656, 1455, 985, 1650, 1603, 1272, 1956
8192, 3776, 1881, 1647, 1151, 1928, 1861, 1449, 2126
9216, 4237, 2117, 1851, 1264, 2108, 2043, 1662, 2380
10240, 4704, 2342, 2106, 1326, 2336, 2262, 1783, 2775
11264, 5180, 2567, 2312, 1450, 2558, 2484, 2000, 2955
12288, 5647, 2803, 2463, 1632, 2791, 2703, 2123, 3233
13312, 6114, 3028, 2747, 1695, 3022, 3007, 2289, 3487
14336, 6570, 3264, 2880, 1879, 3241, 3149, 2466, 3759
15360, 7040, 3489, 3069, 2006, 3495, 3365, 2632, 3927
16384, 7504, 3714, 3279, 2126, 3717, 3584, 2803, 4181
17408, 7959, 3950, 3563, 2372, 3953, 3794, 2972, 4548
18432, 8438, 4279, 3690, 2370, 4181, 4018, 3146, 4964
19456, 8917, 4400, 3882, 2360, 4521, 4228, 3309, 5089
20480, 9387, 4636, 4095, 2535, 4627, 4459, 3492, 5349
21504, 9843, 4861, 4302, 2957, 4858, 4672, 3646, 5770
22528, 10313, 5086, 4494, 2783, 5103, 4882, 3820, 5736
23552, 10768, 5322, 4695, 2925, 5331, 5103, 3986, 6156
24576, 11250, 5547, 4905, 3001, 5559, 5316, 4166, 6256
25600, 11717, 5783, 5100, 3209, 5807, 5550, 4335, 6499
26624, 12169, 6008, 5310, 3385, 6156, 5745, 4509, 6948
27648, 12628, 6233, 5514, 3502, 6242, 5964, 4675, 7217
28672, 13110, 6469, 5698, 3669, 6472, 6200, 4849, 7288
