bytes,builtin unrolled,builtin manual,builtin movdq manual,SSSE3
1024, 296, 191, 259, 321
2048, 544, 349, 445, 590
3072, 785, 482, 624, 859
4096, 1026, 646, 800, 1140
5120, 1267, 794, 992, 1449
6144, 1508, 936, 1159, 1678
7168, 1749, 1094, 1341, 1962
8192, 1990, 1211, 1517, 2247
9216, 2231, 1280, 1712, 2516
10240, 2472, 1548, 1882, 2788
11264, 2720, 1675, 2074, 3066
12288, 3034, 1838, 2312, 3412
13312, 3288, 2058, 2490, 3696
14336, 3542, 2149, 2656, 3977
15360, 3765, 2256, 2791, 4157
16384, 3925, 2417, 2958, 4429
17408, 4166, 2624, 3153, 4692
18432, 4407, 2683, 3335, 4973
19456, 4648, 2794, 3514, 5239
20480, 4896, 2828, 3687, 5511
21504, 5137, 3183, 3860, 5783
22528, 5378, 3199, 4052, 6064
23552, 5619, 3416, 4235, 6333
24576, 5860, 3607, 4407, 6599
25600, 6101, 3730, 4593, 6877
26624, 6342, 3941, 4763, 7146
27648, 6583, 3947, 4948, 7415
28672, 6831, 4166, 5146, 7690
29696, 7072, 4302, 5310, 7965
30720, 7313, 4478, 5511, 8237
31744, 7554, 4689, 5687, 8509
32768, 7795, 4779, 5857, 8781
33792, 8036, 4846, 6036, 8794
34816, 8051, 5115, 6222, 9051
35840, 8752, 5352, 6561, 9852
36864, 9006, 5506, 6748, 9872
37888, 9007, 5564, 6769, 10138
38912, 9514, 5700, 7111, 10130
39936, 9211, 5627, 6905, 10393
40960, 9991, 6093, 7513, 11248
41984, 9971, 5873, 7470, 11229
43008, 10212, 6250, 7678, 11504
44032, 10453, 6136, 7829, 11463
45056, 10694, 6423, 8014, 11720
46080, 10638, 6464, 7954, 11986
47104, 11176, 6673, 8379, 12601
48128, 11424, 6936, 8568, 12873
49152, 11665, 7183, 8763, 12781
50176, 11906, 7263, 8895, 13059
51200, 11798, 7093, 8595, 12962
52224, 11732, 7152, 8816, 13225
53248, 12282, 7715, 9427, 13832
54272, 12870, 7934, 9640, 14505
55296, 13111, 8006, 9838, 13991
56320, 12654, 8225, 9996, 14639
57344, 13600, 7959, 10169, 14517
58368, 13104, 7918, 9816, 14783
59392, 13684, 8341, 10293, 15046
60416, 13926, 8335, 10454, 15700
61440, 14978, 9097, 11242, 15972
62464, 14805, 9897, 11090, 15818
63488, 15046, 8793, 11269, 16075
64512, 14487, 8911, 10842, 16338
65536, 14712, 8802, 10998, 16607
66560, 15328, 9449, 11502, 17305
67584, 15570, 9339, 11693, 17577
68608, 15812, 9583, 11856, 17376
69632, 16499, 10460, 12339, 18112
70656, 16271, 9728, 12167, 17890
71680, 16084, 9881, 12054, 18156
72704, 17222, 10490, 12876, 18408
73728, 16997, 10342, 12696, 18662
74752, 16770, 10029, 12574, 18919
75776, 17456, 10448, 13065, 19188
76800, 17231, 10070, 12905, 19451
77824, 18434, 11309, 13810, 20780
78848, 19203, 11478, 14380, 20484
79872, 18399, 10980, 13787, 20747
80896, 19711, 12052, 14727, 21019
81920, 19398, 11597, 14534, 21267
82944, 20188, 12028, 15120, 22168
83968, 19887, 12082, 14905, 22437
84992, 20128, 12351, 15074, 22080
86016, 20950, 12844, 15700, 22349
87040, 20043, 11977, 14987, 22618
88064, 20851, 12642, 15615, 22878
89088, 20502, 12427, 15371, 23144
90112, 21333, 13093, 15567, 23419
91136, 21574, 13087, 16128, 23685
92160, 21815, 13825, 16317, 24610
93184, 22056, 14063, 16558, 24897
94208, 22304, 14138, 16672, 24532
95232, 22545, 13467, 16855, 25444
96256, 22786, 13974, 17059, 25036
97280, 23027, 14119, 17226, 25985
98304, 23268, 14274, 17420, 25540
99328, 24162, 14694, 18091, 26532
100352, 23750, 14147, 17766, 26069
101376, 24667, 14963, 18472, 27088
102400, 24232, 14685, 18131, 26604
103424, 25175, 15120, 18853, 27623
104448, 24721, 14979, 18499, 27139
105472, 25652, 15350, 19200, 28168
106496, 25203, 14707, 18864, 28440
107520, 26160, 15897, 19575, 28720
108544, 25685, 15343, 19222, 28209
109568, 25926, 15751, 19411, 28463
110592, 26170, 15887, 19621, 28735
111616, 25701, 15322, 19212, 29004
112640, 27399, 16662, 20554, 29267
113664, 26160, 16042, 19596, 29533
114688, 27907, 17145, 20877, 29013
115712, 26622, 16175, 19974, 30074
116736, 27623, 16728, 20663, 30337
117760, 27861, 15933, 20882, 29799
118784, 26621, 15501, 19936, 30042
119808, 26846, 18283, 20149, 30302
120832, 27082, 16618, 20309, 30568
121856, 28832, 19299, 21007, 30822
122880, 28288, 19430, 21219, 31091
123904, 27768, 16045, 20799, 31348
124928, 28004, 16332, 20959, 31594
125952, 29796, 17360, 21757, 31868
126976, 28454, 19383, 21326, 32123
128000, 28679, 15962, 21506, 32386
129024, 29690, 16532, 22237, 33513
130048, 31624, 18408, 23691, 33785
131072, 30149, 18028, 23268, 34048
132096, 30391, 16967, 22745, 33418
133120, 31490, 21624, 23614, 33675
134144, 30062, 16755, 22564, 34846
135168, 31092, 18453, 23280, 35100
136192, 33117, 22582, 24800, 35384
137216, 32454, 18580, 24307, 35656
138240, 32695, 20799, 24461, 35919
139264, 33879, 19569, 25387, 37183
140288, 33184, 20660, 25556, 36448
141312, 32519, 18115, 24329, 36689
142336, 33666, 22953, 25210, 36961
143360, 32978, 20901, 24643, 37227
144384, 34148, 23287, 25586, 37493
145408, 34389, 19862, 25701, 37762
146432, 35598, 19841, 26644, 39069
147456, 34878, 19522, 26072, 38319
148480, 35112, 20471, 26307, 38545
149504, 36357, 25148, 26508, 39888
150528, 35601, 22585, 26603, 39098
151552, 35842, 19936, 26872, 39373
152576, 36083, 20993, 27043, 39648
153600, 36324, 24965, 27218, 39875
154624, 37596, 20944, 28146, 41288
155648, 37850, 22285, 28330, 41569
156672, 38104, 22198, 28536, 41832
157696, 37295, 23726, 27948, 42055
158720, 38581, 21479, 28853, 41229
159744, 37777, 21009, 28294, 42624
160768, 38018, 22588, 28511, 40629
161792, 36247, 21518, 27126, 40942
162816, 38500, 21420, 28863, 41208
163840, 38741, 22724, 29051, 41448
164864, 40074, 25982, 30017, 41702
165888, 37158, 25367, 27806, 41959
166912, 39471, 24536, 29827, 42231
167936, 37619, 25891, 28172, 42444
168960, 38853, 23709, 29037, 42746
169984, 40194, 22375, 30053, 43006
171008, 39337, 22936, 29394, 43266
172032, 39579, 22014, 29681, 43532
173056, 38766, 23108, 29016, 43780
174080, 41158, 28523, 30859, 44038
175104, 41399, 25333, 31029, 44300
176128, 42837, 26221, 32014, 45756
177152, 40739, 24682, 30512, 46028
178176, 42129, 29129, 31583, 46285
179200, 41223, 25214, 30890, 46488
180224, 41440, 25103, 31065, 46811
181248, 42852, 25954, 32049, 47086
182272, 43093, 26118, 32214, 47361
183296, 44553, 27282, 32467, 48873
184320, 44807, 31192, 33598, 49167
185344, 45061, 27227, 33752, 49454
186368, 45315, 27729, 33927, 48422
187392, 45569, 27112, 34151, 50008
188416, 44546, 26990, 33341, 48960
189440, 43568, 26369, 32640, 49223
190464, 45028, 27812, 33765, 50802
191488, 45269, 27685, 33910, 49706
192512, 45510, 27546, 34019, 48697
193536, 43343, 26452, 32460, 48963
194560, 45999, 27404, 34448, 49215
195584, 44970, 26829, 33679, 49475
196608, 45212, 27602, 33894, 49702
197632, 44265, 26780, 33081, 49974
198656, 45696, 27668, 34214, 50267
199680, 44715, 26650, 33483, 50459
200704, 46155, 28436, 34505, 52121
201728, 47686, 29172, 35697, 50997
202752, 47927, 29240, 35892, 51234
203776, 45637, 27910, 34180, 51565
204800, 48416, 29327, 36263, 51754
205824, 47340, 28651, 35417, 52082
206848, 48898, 29620, 36652, 52304
207872, 47799, 31138, 35819, 53974
208896, 50782, 35070, 38007, 54288
209920, 49621, 30062, 37162, 54554
210944, 48500, 29391, 36327, 54784
211968, 51541, 34396, 38606, 55065
212992, 48984, 31966, 36641, 55261
214016, 52018, 28917, 38957, 55564
215040, 50833, 32207, 38046, 55850
216064, 51074, 28365, 38244, 56162
217088, 49927, 32281, 37345, 56328
218112, 51556, 33568, 39733, 56597
219136, 51797, 33079, 38797, 58436
