Timestamp,Company Name,Position Title,Position Type,Location,Base Salary,Salary Frequency,Housing Stipend,Signing Bonus,Stock Bonuses/Benefits,Stock Vesting Schedule Details,Additional Benefits,Did You Negotiate the Offer?,Did You Accept the Offer?,Time Frame From First Interview Invitation to Offer in Weeks,Sex,Degree Level,Last Year of College,Last School Attended,Major,Additional Information,Monthly Salary,Annualized Salary,Bonuses per Year,Annualized Recurring Renumeration (inc. stock),Recurring Renumeration per Month,totalcomp
12/3/2015 18:21:22,Adobe,Full Stack Developer,Full Time,"San Francisco, CA",95000,Annually,,20000,50000,4 years vesting,,No,No,4,Male,Bachelors,,Maryland,CS,,"7,917","95,000","12,500","107,500","8,958","127,500"
12/3/2015 16:40:19,Airbnb,"Software Engineer, New Grad",Full Time,"San Francisco, CA",120000,Annually,,14000,,,,Yes,Yes,1.5,Female,Bachelors,Senior,,Computer Science and Software Engineering,,"10,000","120,000",0,"120,000","10,000","134,000"
11/28/2015 16:27:05,Airbnb,Software Engineering Intern,Intern,"San Francisco, CA",7600,Per Month,4000,,,,"500/month Airbnb credits, 100/month transportation, medical insurance, 3 meals/day",No,Yes,4,Female,Bachelors,Freshman,Berkeley,Math + CS,,"7,600","91,200","48,000","139,200","11,600","139,200"
11/27/2015 18:46:55,Airbnb,,Intern,SF,40,Per Hour,4000,,,,,No,,7,Female,Bachelors,Sophomore,,CS,,"6,933","83,200","48,000","131,200","10,933","131,200"
11/25/2015 17:27:16,Amazon,New grad SWE,Full Time,"Seattle, WA","90,000",Annually,,10000,50000,,,No,No,,Female,Bachelors,Senior,South east state school,CS,,"7,500","90,000","12,500","102,500","8,542","112,500"
12/3/2015 11:42:43,Amazon,SDE,Full Time,Seattle,95000,Annually,,42000,53000,4 years with 1 year cliff,,No,Yes,12,Male,Bachelors,Graduate,Waterloo,CS,,"7,917","95,000","13,250","108,250","9,021","150,250"
11/26/2015 0:04:56,Amazon,Software Development Engineer,Full Time,Seattle,"95,000",Annually,,47000,53000,4 years vesting schedule,,No,Yes,,Male,Bachelors,,Canadian School,Software Engineering,,"7,917","95,000","13,250","108,250","9,021","155,250"
11/25/2015 14:25:29,Amazon,,Intern,"Boston, MA","6,000",Per Month,"3,000",,,,,No,No,7,Male,Bachelors,Junior,MA,Computer Science,Informed that I would be placed on the EC2 team at the time an offer was made.,"6,000","72,000","36,000","108,000","9,000","108,000"
11/25/2015 14:27:27,Amazon,,Intern,"Seattle, WA","6,200",Per Month,"2,500",,,,,No,No,,Male,Bachelors,Freshman,,,,"6,200","74,400","30,000","104,400","8,700","104,400"
12/3/2015 20:07:35,Amazon,,Full Time,Seattle,95000,Annually,,45000,53000,4 years,,No,Yes,,Male,Bachelors,,,,,"7,917","95,000","13,250","108,250","9,021","153,250"
11/28/2015 17:28:44,Amazon Robotics,Software Engineering Intern,Intern,Boston,5600,Per Month,1500,,,,,No,Yes,1,Female,Masters,Senior,Larger Ivy,Computer Science and Robotics,,"5,600","67,200","18,000","85,200","7,100","85,200"
12/3/2015 17:48:14,Amazon.com,SDE Intern,Intern,Seattle,6200,Per Month,2500,,,,,No,Yes,,Male,Bachelors,Senior,PUC-Rio,Computer Engineering,,"6,200","74,400","30,000","104,400","8,700","104,400"
11/27/2015 18:53:11,Apple,Software Engineer,Full Time,"Cupertino, CA",112000,Annually,,25000,100000,,"45 days corporate housing, full relocation + 9k, discounted Apple products.",Yes,Yes,3,Male,Bachelors,Super Senior,East coast state school,Computer Science,2 phone interviews + onsite. iTunes division team.,"9,333","112,000","25,000","137,000","11,417","162,000"
11/25/2015 21:21:28,Apple,SWE intern,Intern,Sunnyvale,"6,400",Per Month,,,,,Free corporate housing,Yes,Still considering,3,Female,Bachelors,Junior,Berkeley,,,"6,400","76,800",0,"76,800","6,400","76,800"
12/7/2015 0:26:44,Asana,Software Engineer,Intern,San Francisco,100000,Annually,0,0,0,0,,No,,,Male,Bachelors,,,,,"8,333","100,000",0,"100,000","8,333","100,000"
12/3/2015 16:03:09,AT&T,Emerging Technologies TDP Intern,Intern,New Jersey,1000,Per Week,,,,,,No,No,10,Male,Bachelors,Junior,Large state school on east coast,Computer Science,,"4,333","52,000",0,"52,000","4,333","52,000"
12/3/2015 16:39:23,AT&T,Principal Engineer I,Full Time,California,75000,Annually,0,5000,0,0,,No,No,3,Male,Bachelors,Senior,,Computer Engineering,,"6,250","75,000",0,"75,000","6,250","80,000"
11/29/2015 22:40:48,Atlassian,Junior Developer,Full Time,"Sydney, Australia ",52560,Annually,,15000,20000,4 years (USD),,No,Still considering,,Female,Bachelors,Senior,Big 10 school ,Computer Engineering,Australia Dollars Converted to USD at 1 AUD = 0.73 USD,"4,380","52,560","5,000","57,560","4,797","72,560"
11/25/2015 14:26:42,Axilera,,Full Time,Santa Clara,"7,000",Per Month,0,0,0,0,,No,Yes,1,Male,High School,Didn't attend college,,,,"7,000","84,000",0,"84,000","7,000","84,000"
11/25/2015 15:49:50,Bank of America,Software Dev,Intern,NYC,15,Per Hour,0,0,0,0,,Yes,Yes,6,Female,High School,Finished junior year of high school,Prestigious SF Bay Area High School,Computer Science at Community College,8 week internship,"2,600","31,200",0,"31,200","2,600","31,200"
12/3/2015 13:59:05,Bank of America,Technology Associate,Full Time,"New York, NY",104000,Annually,,15000,,,,No,Yes,,Male,Masters,Graduate,,,,"8,667","104,000",0,"104,000","8,667","119,000"
12/3/2015 18:37:00,Bank of America,Technology Associate,Full Time,Hopewell NJ,104000,Annually,,15000,,,"retirement benefits and health and other welfare benefits such as medical, dental, vision, life and long−term
disability insurance",No,Yes,3,Male,Masters,Graduate,UT Dallas,CS,,"8,667","104,000",0,"104,000","8,667","119,000"
11/25/2015 15:04:50,Bloomberg,Industrial Placement,Intern,"London, UK","53,000",Annually,"3,000",,,,Free lunch,No,Still considering,,Male,Bachelors,Graduate,,,,"4,417","53,000","36,000","89,000","7,417","89,000"
12/3/2015 18:19:33,Bloomberg,New Grad Software Developer,Full Time,"New York, New York",117500,Annually,,10000,17500,,,No,Still considering,4,Male,Bachelors,,Maryland,CS,,"9,792","117,500","4,375","121,875","10,156","131,875"
11/28/2015 17:40:07,Bloomberg,Software Engineer,Intern,NYC,6400,Per Month,1700,,,,"Gym membership, free meals and snacks",No,Yes,3,Female,Bachelors,Senior,,Computer Science,,"6,400","76,800","20,400","97,200","8,100","97,200"
12/14/2015 1:34:40,Bloomberg,Software Engineer Intern,Intern,NY,40,Per Hour,2550,2000,,,free snacks,No,Still considering,,Male,Bachelors,Junior,UC Berkeley,"Computer Science, Applied Mathematics",,"6,933","83,200","30,600","113,800","9,483","115,800"
11/25/2015 15:23:25,Bloomberg,,Intern,New York,40,Per Hour,"3,333",,,,,No,No,12,Male,Bachelors,Junior,UCLA,Computer Science,,"6,933","83,200","40,000","123,200","10,267","123,200"
11/28/2015 0:00:10,Box,Software Engineer,Full Time,Redwood City,125000,Annually,,5000,77000,4 years vesting schedule with 1 year cliff,"Gym membership, free lunch and dinner",No,Still considering,,Prefer Not to Disclose,Bachelors,Senior,,Computer Science,,"10,417","125,000","19,250","144,250","12,021","149,250"
11/25/2015 18:49:39,Box,Software Engineering Intern,Intern,Redwood City,"6,400",Per Month,,5000,,,"Gym membership, all meals free (breakfast lunch dinner)",No,Still considering,4,Male,Bachelors,Junior,Bay Area School,CS,"1 challenge, 2 back-to-back interviews (Google style)","6,400","76,800",0,"76,800","6,400","81,800"
11/25/2015 15:44:39,Capital One,TDP Intern,Intern,Virginia,"5,000",Per Month,0,"1,500",0,0,,No,Still considering,4,Female,Bachelors,Junior,Southeast NonTechnical State University,Computer Science,,"5,000","60,000",0,"60,000","5,000","61,500"
12/3/2015 5:07:40,Castlight Health,Software Engineering Intern,Intern,"San Francisco, CA, USA",37.5,Per Hour,,,,,Free breakfast or lunch every Friday (alternates),No,Yes,3,Female,Bachelors,Senior,UC Berkeley,Computer Science,12 week internship,"6,500","78,000",0,"78,000","6,500","78,000"
11/25/2015 16:58:46,Cisco,Software Engineer,Full Time,San Jose,"94,000",Annually,,7000,,,,No,Yes,,Female,Bachelors,Senior,University of Michigan,English and Computer Science,,"7,833","94,000",0,"94,000","7,833","101,000"
11/25/2015 14:17:40,Cisco Meraki,,Intern,San Francisco,"7,000",Per Month,"4,000",,,,"Free breakfast/lunch/dinner/snacks, monthly lyft credit, free gym, all visa/travel expenses paid, outfits workstation with your choice of equipment (e.g. mechanical keyboards)",Prefer not to disclose,Yes,3,Male,Bachelors,Junior,University of Waterloo,Computer Science,,"7,000","84,000","48,000","132,000","11,000","132,000"
11/25/2015 14:52:14,Cloudera,Software Engineering Intern,Intern,CA,55,Per Hour,,,,,,No,Yes,,Prefer Not to Disclose,Masters,Graduate,,,,"9,533","114,400",0,"114,400","9,533","114,400"
11/27/2015 18:49:09,DAQRI,,Intern,"Sunnyvale, CA",6325,Per Month,,,,,,No,Still considering,,Male,Bachelors,Sophomore,MIT,CS,,"6,325","75,900",0,"75,900","6,325","75,900"
11/28/2015 16:49:25,Defense,Software Engineer,Intern,"Cleveland, Ohio",20.91,Per Hour,350,,,,,No,No,2,Male,Bachelors,Junior,Drexel,CompE,"It was a position in Ohio, thus the lower pay.","3,624","43,493","4,200","47,693","3,974","47,693"
11/28/2015 16:50:41,Defense,Systems Engineer,Intern,"Moorestown, NJ",21.7,Per Hour,,,,,,No,Yes,4,Male,Bachelors,Sophomore,Drexel,Computer Engineering,Internship was in southern NJ thus lower living expenses.,"3,761","45,136",0,"45,136","3,761","45,136"
11/29/2015 4:21:50,Dell,Software Dev Engineer,Full Time,Round Rock,65000,Annually,0,5000,0,0,"discounts at most places, discounted gym membership, money for staying fit, relocation benefit of 8k, help buying your first house.",Yes,Yes,3,Female,Bachelors,Senior,MI,Engineering,,"5,417","65,000",0,"65,000","5,417","70,000"
11/26/2015 13:46:30,Dropbox,Software Engineer Intern,Intern,"San Francisco, CA","7,500",Per Month,,,,,"Corp. housing, relocation, free meals, etc.",,No,,Male,Bachelors,Sophomore,,,,"7,500","90,000",0,"90,000","7,500","90,000"
