date,status,weight
2017-05-27,yes,220.4
2017-05-27,yes,218.6
2017-05-27,yes,219.6
2017-05-27,no,218.6
2017-05-27,no,215.4
2017-05-28,no,215
2017-05-28,no,213.6
2017-05-28,yes,217.2
2017-05-28,yes,216.4
2017-05-28,yes,216.4
2017-05-28,yes,217.4
2017-05-29,no,214
2017-05-29,yes,214.8
2017-05-29,yes,216.2
2017-05-29,yes,220.0
2017-05-29,no,218.4
2017-05-29,no,217.2
2017-05-30,no,215.0
2017-05-30,yes,216
2017-05-31,no,214
2017-05-31,yes,216.8
2017-05-31,no,217
2017-05-31,no,216.4
2017-06-01,no,213.8
2017-06-01,yes,216.0
2017-06-01,no,213.4
2017-06-01,no,214.2
2017-06-02,no,213.2
2017-06-02,no,212.6
2017-06-02,yes,217.4
2017-06-03,no,215.8
2017-06-03,yes,215.2
2017-06-03,yes,217.8
2017-06-04,no,216.4
2017-06-04,no,217.4
2017-06-05,yes,217.6
2017-06-05,yes,219.6
2017-06-06,no,212.8
2017-06-06,no,214.6
2017-06-06,no,215.0
2017-06-07,no,214.0
2017-06-07,yes,216.2
2017-06-08,no,213.2
2017-06-08,yes,218
2017-06-09,no,215.4
2017-06-09,no,214.2
2017-06-09,yes,221.2
2017-06-10,no,216.4
2017-06-10,no,215.4
2017-06-10,yes,220.2
2017-06-11,no,214.2
2017-06-11,yes,218.4
2017-06-12,no,214.8
2017-06-12,yes,218.6
2017-06-13,no,214.2
2017-06-13,yes,221.0
2017-06-14,no,217
2017-06-14,yes,218.2
2017-06-14,yes,220.6
2017-06-15,no,216.8
2017-06-15,no,216
2017-06-16,no,215.8
2017-06-16,yes,219.2
2017-06-17,no,215.8
2017-06-18,no,216.4
2017-06-18,no,215.4
2017-06-18,yes,219.4
2017-06-19,no,215.8
2017-06-19,yes,216.2
2017-06-19,yes,215.2
2017-06-19,yes,215.8
2017-06-20,yes,214.8
2017-06-20,yes,218
2017-06-21,yes,212.6
2017-06-22,no,213
2017-06-22,yes,218.2
2017-06-23,no,213.4
2017-06-23,no,216.4
2017-06-24,no,213
2017-06-24,no,213.2
